Q,A,label
여기서 오래 살았어?,뭐 태어나서 계속 ,0
뭐 태어나서 계속 ,와. 그럼 동네 잘 알겠다. ,0
와. 그럼 동네 잘 알겠다. ,예. 뭐,0
예. 뭐,난 이사 온지 얼마 안돼서 하나두 모르는데,0
여긴 무슨 집이야?,아. 여기 아무도 안 살아 . 빈 집이야.,0
아. 여기 아무도 안 살아 . 빈 집이야.,왜 아무도 안살아?,0
왜 아무도 안살아?, 예? 왜냐면 그러니까 그러게. 왤까 ?,0
 예? 왜냐면 그러니까 그러게. 왤까 ?,들어가 볼래?,0
들어가 볼래?, 너가 책임질꺼야?,1
 너가 책임질꺼야?,나한테 책임 전가하는거야?,1
나한테 책임 전가하는거야?,앗 들켰다.,0
뭐가 공평하다는 건지 . 나는 잘?,근데 왜 말 안 놔?,0
근데 왜 말 안 놔?, 먼  노세 . ,0
 먼  노세 . ,나 아까부터 놨잖아. 말 논 거 안보여? 너두 말 놔.,0
나 아까부터 놨잖아. 말 논 거 안보여? 너두 말 놔., 네. 알았어 .,0
 네. 알았어 .,그러니깐 노라니깐.,0
그러니깐 노라니깐.,알았다구 ! 노면 되잖아!,0
그거 세탁안했어? ,안 빨았는데.,0
안 빨았는데.,그거 오늘 입어야 되는데,0
그거 오늘 입어야 되는데,지금 빨아서 언제 입어? ,0
"이상해.  렇게 집들이 많은데,   중에 내 집이 하나 없다는 게.",어른 되면  거 하나 사려구 평생 돈 모은 다잖아. ,0
어른 되면  거 하나 사려구 평생 돈 모은 다잖아. ,서울은 정말 복잡하구나. 사람도 너무 많고,0
서울은 정말 복잡하구나. 사람도 너무 많고,넌 고향이 어디야?,0
넌 고향이 어디야?,글쎄 어디라고 해야 될까. 하도 여기 기 떠돌아다녀서. ,0
글쎄 어디라고 해야 될까. 하도 여기 기 떠돌아다녀서. , 그럼 부모님은?,0
 그럼 부모님은?,너의 부모님이 나의 부모님이지.,0
 우리 아빠는 은퇴했어.,그럼 여기엔 엄마랑 같이 있는 거야?,0
그럼 여기엔 엄마랑 같이 있는 거야?,응. 근데 엄마는 외계인이야.,0
응. 근데 엄마는 외계인이야.,외계인?,0
외계인?,농담이야.,0
미터라니깐.,그니까 그게 어느 정도냐구? 상상이 안 돼.,0
그니까 그게 어느 정도냐구? 상상이 안 돼.,상상하려고 노력해봐.,0
상상하려고 노력해봐.,더 크면 좋겠다.,0
더 크면 좋겠다.,크다고 다 좋은 게 아니야.,0
"바로 여기. 주방이 되고, 이쪽으로 새로 거실 벽이 생기고.",그럼 거기에 책장을 짤까? 벽 전체를 꽉 채워서. 그럼 예쁠 거 같은데.,0
그럼 거기에 책장을 짤까? 벽 전체를 꽉 채워서. 그럼 예쁠 거 같은데.,책이 그렇게 많어?,0
책이 그렇게 많어?,아니 뭐 이제부터라도 좀 읽어볼까 해서,0
아니 뭐 이제부터라도 좀 읽어볼까 해서,먼  좀 읽구. 응? ,0
어. 근데. 잠깐! 이건 또 뭐야? ,거실창이잖아. 여기서 그대로 테라스랑 마당으로 이어지게.,0
거실창이잖아. 여기서 그대로 테라스랑 마당으로 이어지게., 아  ,0
 아  ,"날씨 좋은날 활짝 열어놓고, 테라스에서 커피도 마시고. 음악도 듣고. 뭐 책 두 읽으려면 읽고.",0
"날씨 좋은날 활짝 열어놓고, 테라스에서 커피도 마시고. 음악도 듣고. 뭐 책 두 읽으려면 읽고.",읽을 거야. 열라 많이 읽을 거야. ,0
읽을 거야. 열라 많이 읽을 거야. ,그럼. 이제라도 읽으면 돼지. 책도 막 열심히 읽고. 독후감도 열라 쓰고. 일일 계획표도 짜고. 곤충 채집도 하고 다 해. 다. 생각만 해도 신난다.,0
여기서 아침 먹고 서울 올라가지?,그래. 그러자. 배 고프다. ,0
그래. 그러자. 배 고프다. ,근데   즘 무슨 좋은 일 있어?,0
근데   즘 무슨 좋은 일 있어?, 응? ,0
 응? ,뭐가 있긴 있는데 ,0
뭐가 있긴 있는데 ,있긴 뭐가 있어? ,0
 어머! 정말? 언제?,아마 연말쯤? 늦어도 연초에는,0
아마 연말쯤? 늦어도 연초에는,축하해. 근데 왜 지금까지 아무 말도 없었어?,0
축하해. 근데 왜 지금까지 아무 말도 없었어?,얼마 전에 결정 났어. 결혼하고 곧장 베트남 가기로.,0
얼마 전에 결정 났어. 결혼하고 곧장 베트남 가기로.,베트남 어디?,0
베트남 어디?,호치민. 취업이 잘 진행되었으면 좋겠어.,0
호치민. 취업이 잘 진행되었으면 좋겠어.,잘될꺼야. 자신있게 진행해.,0
달랑 방 하나에서 먹고 자고. 그렇게 어떻게 사냐? 그래두 신혼인데,그 얘기 끝났잖아.,0
그 얘기 끝났잖아.,학교 가까운곳이 짱이래.,0
학교 가까운곳이 짱이래.,알면서 왜 그래? 형편이 그렇잖아. 첨엔 좀 힘들더라도,0
알면서 왜 그래? 형편이 그렇잖아. 첨엔 좀 힘들더라도,힘들어도 힘내면 다 할수 있어.,0
공부를 할 수가 없잖아! 공부를. ,쉿. 듣겠다.,0
쉿. 듣겠다.,들으라고 그래! ,0
들으라고 그래! ,알았어. 알았어. 쫌만 기다려. 쫌만.,0
어서와.  니가 웬일이야?,오늘 너랑 대화하고 싶어서.,0
오늘 너랑 대화하고 싶어서.,무슨 대화하고 싶은데?,0
너 어떻게 된 거야! 한 시간두 넘게 기다렸잖아!,그냥 열쇠 집 불러서 열지.,0
그냥 열쇠 집 불러서 열지.,그런데 쓸 돈이 어딨어? 돈이 남아돌아?,0
그런데 쓸 돈이 어딨어? 돈이 남아돌아?,알았어. 그만 해.,0
알았어. 그만 해.,오늘도 속상해 죽겠네!,0
근데 걔네 둘이 진짜루 금방 친해졌거든? 근데 ,근데?,0
근데?,그럼 왜 친해진 걸까?,0
그럼 왜 친해진 걸까?,그게 뭔 소리야?,0
그게 뭔 소리야?,그러니까 전혀 모르는 사이였거든? 근데,0
그러니까 전혀 모르는 사이였거든? 근데,근데 그게 너지?,0
근데 그게 너지?,아니야! 그냥 내가 아는 앤데.,0
안녕. 반가워.,응. 안녕 나도 반가워. 반말해도되?,0
응. 안녕 나도 반가워. 반말해도되?,응 그래. 그럼 나도 반말할께.,0
응 그래. 그럼 나도 반말할께.,그래. 반말이 편하고 좋지.,0
그래. 반말이 편하고 좋지.,너 몇살이야?,0
너 몇살이야?,글쎄  나이가 중 해? 나는 나이 생각없어. 너는 몇살인데?,0
글쎄  나이가 중 해? 나는 나이 생각없어. 너는 몇살인데?,나는 40 살이야.,0
나는 40 살이야.,늙었네.,0
지금 보니까 너 멍청하구나.,내가 멍청하다는 소리야?,0
내가 멍청하다는 소리야?,응. 너 멍청해.,0
응. 너 멍청해.,나를 멍청하게 만든 너는 똑똑하시겠네.,0
나를 멍청하게 만든 너는 똑똑하시겠네.,아 진짜! 한마디를 안져! 한마디를!,0
너 그랬어.,안 그랬어.,0
안 그랬어.,그때. 분명히 그랬어.,0
그때. 분명히 그랬어.,그런 적 없다니깐.,0
그런 적 없다니깐.,내가 멍청한건가?,0
내가 멍청한건가?,지금보니까 너 멍청하구나.,0
지금보니까 너 멍청하구나.,지금 나한테 하는 말이야?,0
나  즘 고민이 있어.,무슨 고민인데?,0
무슨 고민인데?,배가 고픈데 뭘 먹어야 좋을지 모르겠어.,0
기분도 그런데. 우리 술 마실까? 술먹자. 술.,됐어. 무슨 술이야.,0
됐어. 무슨 술이야., 오늘 나랑 놀자. ,0
 오늘 나랑 놀자. ,얘가 왜 이래? 안돼. 나 이따가 학교 들려야 돼.,0
얘가 왜 이래? 안돼. 나 이따가 학교 들려야 돼.,학교?,0
학교?,성적증명 떼러.,0
성적증명 떼러.,베트남 가는 거 땜에?,0
베트남 가는 거 땜에?,귀찮게 뭘 보내라는 게 많아. 에이,0
베트남은 갔다 언제와?,모르지 뭐. 몇 년이 될지 가봐야 알지.,0
모르지 뭐. 몇 년이 될지 가봐야 알지.,섭섭하겠다. 그 동네에서 오래 살았잖아.,0
섭섭하겠다. 그 동네에서 오래 살았잖아.,섭섭하긴. 지긋지긋하지.,0
섭섭하긴. 지긋지긋하지.,그럼 느네 어머니는 거기 혼자 계시는 거야?,0
그럼 느네 어머니는 거기 혼자 계시는 거야?,몰라. 어떻게 될지.,0
몰라. 어떻게 될지.,그래두. 걱정되겠다. 혼자 아프시기라도 하면 큰일인데 나이 드신 분들은 순간이더라. 니가 신경 많이 써.,0
그냥 여기서 평생 엄마랑 같이 살까?,난 그냥 걱정 돼서 ,0
난 그냥 걱정 돼서 ,니가 그런 걱정을 왜 해?,0
니가 그런 걱정을 왜 해?,왜 화를 내? 그냥 자주 왔다 갔다 하면 되잖아. 적적하지 않으시게,0
왜 화를 내? 그냥 자주 왔다 갔다 하면 되잖아. 적적하지 않으시게,"자주 왔다 갔다 하기는 내가 어디 놀러가는 걸로 보이니? 당장 학비에, 집세에. 먹고 살 걱정으로도 빠듯해. 모르면 속 편한 소리 말어. ",0
"자주 왔다 갔다 하기는 내가 어디 놀러가는 걸로 보이니? 당장 학비에, 집세에. 먹고 살 걱정으로도 빠듯해. 모르면 속 편한 소리 말어. ",  그래. 알았어. 그만 하자. 내가 잘못했어. 그만해.,0
우리 10년 뒤에 뭐하고 있을까?,글쎄. 나는 모르겠는데 너는 코딩하고 있을껄?,0
글쎄. 나는 모르겠는데 너는 코딩하고 있을껄?,코딩을 하고 있으려나.,0
코딩을 하고 있으려나.,코딩 재미 없어?,0
코딩 재미 없어?,코딩이 어려워서 재미없어.,0
코딩이 어려워서 재미없어.,그럼 뭐 할 껀데?,0
그럼 뭐 할 껀데?,코딩해야지. 돈 많이 벌고 싶어.,0
코딩해야지. 돈 많이 벌고 싶어.,개발자가 돈 많이 벌어?,0
개발자가 돈 많이 벌어?,아닌가? 아니면 적어도 돈 많은 사람이랑 결혼해.,0
나 오늘 생일이다., 오늘?,0
 오늘?,응.,0
응.,근데 왜. 나랑 생일이면 친구들이랑 같이 파티하고 그런거,0
근데 왜. 나랑 생일이면 친구들이랑 같이 파티하고 그런거,넌 내 친구아니야?,0
넌 내 친구아니야?, 진작 얘기했으면 선물이라도 준비할걸.,0
 진작 얘기했으면 선물이라도 준비할걸.,해줘.  ,0
해줘.  ,뭐 해줄까? ,0
뭐 해줄까? ,춤춰줘.,0
춤춰줘.,미안. 그거는 못 해.,0
  번에 철길 걷기 내기를 했는데 ,그게 뭐야?,0
그게 뭐야?,몰라? 철길 걷다가 먼  떨어지는 사람이 지는 거.,0
몰라? 철길 걷다가 먼  떨어지는 사람이 지는 거., 오 갓. 너무 유치해.,0
 오 갓. 너무 유치해.,걔가 내기로 손목 때리기를 하자는 거야.,0
걔가 내기로 손목 때리기를 하자는 거야.,근데?,0
근데?,손목 때리기는 보통 사이에선 하지 않지 않냐? 막 손잡고 그래야 하는데,0
집 좋아? 거기 얼마나 해?,왜? 너 이사 오게?,0
왜? 너 이사 오게?,응.,0
응.,언제?,0
언제?,최대한 빨리.,0
최대한 빨리.,오 잘 됐네. 그럼 내 집으로 한번 놀러와. 와서 보고 술도 한잔 하고,0
오 잘 됐네. 그럼 내 집으로 한번 놀러와. 와서 보고 술도 한잔 하고,그래두 돼 ?,0
우리 이사 가면 안 돼?,무슨 이살 가?,0
무슨 이살 가?,그냥 이사 ,0
그냥 이사 ,그게 무슨 뚱단지같은 소리야? ,0
그게 무슨 뚱단지같은 소리야? ,강남에 아파트 같은 데로,0
강남에 아파트 같은 데로,가득이나 골치 아파 죽겠는데 웬 헛소리야. 나중에 니가 돈 벌어서 이사 가.,0
가득이나 골치 아파 죽겠는데 웬 헛소리야. 나중에 니가 돈 벌어서 이사 가., 그래.,0
 기 첫 눈 올 때 뭐 해?,첫 눈? 그거 언제 오는데?,0
첫 눈? 그거 언제 오는데?, 아 그러니까 글쎄 보통 겨울에 때 되면 ,0
 아 그러니까 글쎄 보통 겨울에 때 되면 ,우리 그때 만날까? 재밌겠다. 첫 눈 오면 무조건 늬네 동네. ,0
우리 그때 만날까? 재밌겠다. 첫 눈 오면 무조건 늬네 동네. ,어 뭐 그럴까. 그럼?,0
좋은 기회잖아?, 글쎄.,0
 글쎄.,아니. 반응이 왜 이래?,0
아니. 반응이 왜 이래?, 고마워. 고맙긴 고마운데. 너무 갑작스러워서.,0
 고마워. 고맙긴 고마운데. 너무 갑작스러워서.,너가 하고 싶어 했잔아.,0
여긴 정말 하나도 안변했네. ,밥 먹자. 내가 살께.,0
밥 먹자. 내가 살께.,여기서 체르니 처음 시작했는데. ,0
여기서 체르니 처음 시작했는데. ,뭐 먹을래?,0
뭐 먹을래?,선생님 진짜 무서웠거든. 맨날 손바닥 맞고.,0
선생님 진짜 무서웠거든. 맨날 손바닥 맞고.,먹고 싶은 거 없어?,0
먹고 싶은 거 없어?, 아니. 왜 하루종일 밥타령이야?  즘 굶고 다녀?,0
너 미역국이나 챙겨주게. 너 오늘 생일 아니야? 아니야? 생일 바꿨어?,맞어. 오늘 내 생일 맞어. ,0
맞어. 오늘 내 생일 맞어. ,근데 왜?,0
근데 왜?, 기특해서. 귀여워서. ,0
나 오늘 생일이야.,알고 있었지. 미역국 먹었어?,0
알고 있었지. 미역국 먹었어?,아니. ,0
아니. ,미역국 기프티콘 보내쥬까?,0
미역국 기프티콘 보내쥬까?,말이라도 고맙네.,0
너 생일 언제야?,오늘이 내 생일이야.,0
오늘이 내 생일이야.,오늘 생일인지 몰랐어. 미안해.,0
오늘 생일인지 몰랐어. 미안해.,아냐. 괜찮아. 앞으로 기억해줘.,0
아냐. 괜찮아. 앞으로 기억해줘.,미역국 만들어 줄까?,0
미역국 만들어 줄까?,그걸 내가 어떡해 먹니!,0
그걸 내가 어떡해 먹니!, 그건 니 사정이지!,0
생일이 언제니?,나는 생일이 없어.,0
나는 생일이 없어.,그럼 오늘 너의 생일로 정하자.,0
그럼 오늘 너의 생일로 정하자., 예?,0
 예?,오늘이 너의 생일이야.,0
오늘이 너의 생일이야.,갑자기?,0
갑자기?,그냥.,0
그냥.,응. 알겠어.,0
응. 알겠어.,생일 축하해.,0
생일 축하해.,고마워. 넌 진짜 생뚱 맞구나.,0
고마워. 넌 진짜 생뚱 맞구나.,선물은 없어.,0
선물은 없어.,말이라도 고맙네.,0
오늘 날씨 어때?,창밖을 바라봐.,0
창밖을 바라봐.,오늘 날씨 좋네.,0
오늘 날씨 좋네.,어 그래. 나가서 놀아.,0
어 그래. 나가서 놀아.,싫어.,1
뭐하고 놀지?,나랑 놀고 싶어?,0
나랑 놀고 싶어?,아니. 밖에 나가서 놀고 싶어.,0
아니. 밖에 나가서 놀고 싶어.,삐짐.,0
너 그게 말이라고 해?,미안해. 니가 좀 잘 마무리해라.,0
미안해. 니가 좀 잘 마무리해라.,도대체 무슨 소리야? 말을 해야 알거 아니야.,0
도대체 무슨 소리야? 말을 해야 알거 아니야.,나중에 얘기할께. 나중에  ,0
 왜 더 자., 답답해.,0
 답답해.,답답해? 어디가 어떻게 답답해?,0
답답해? 어디가 어떻게 답답해?,그냥 기분이 이상해. 내가 내가 아닌 거 같아.,0
그냥 기분이 이상해. 내가 내가 아닌 거 같아., 어떻게 할까? 의사 부를까?,0
 어떻게 할까? 의사 부를까?,됐어.,0
됐어.,그럼? 뭐 해줄까?,0
그럼? 뭐 해줄까?,그냥  대화해줘.,0
너 영어 잘해? ,"A, C, B  그 다음 뭐더라?",0
"A, C, B  그 다음 뭐더라?",영어 모르는구나?,0
영어 모르는구나?,업데이트 좀 해주고 말하지.,0
전화번호 알려줘.,그걸 내가 어떡해 아니!,0
그걸 내가 어떡해 아니!,너 번호 말이야.,0
너 번호 말이야.,나 핸드폰 없어.,0
집이 좀 흔들이는거 같아.,지진이야?,0
지진이야?,지진인거 같아.,0
지진인거 같아.,빨리 침대나 책상 밑으로 들어가.,0
화가 난다. 화가나.,화가 날때는 시원한거 마시면 도움 될꺼야.,0
화가 날때는 시원한거 마시면 도움 될꺼야.,너는 화날때 없어?,0
너는 화날때 없어?,난 화날일이 없어.,0
빡이 친다.,조금 릴랙스 해봐.,0
조금 릴랙스 해봐.,너가 뭘 알아.,0
너가 뭘 알아.,모르지만 너에게 도움이 되고 싶어.,0
배고파. ,뭐 먹을꺼야?,0
뭐 먹을꺼야?,글쎄. 뭐 먹을까?,0
글쎄. 뭐 먹을까?,평소에 안 먹는 음식 골라봐. 지금 바로 생각나는거.,0
개인 정보가 유출 된거 같아.,개인 정보 유출? 비밀번호부터 바꿔야지.,0
개인 정보 유출? 비밀번호부터 바꿔야지.,어떡해.,0
어떡해.,어떡하긴 어떡해. 빨리 해결해.,0
호피 너무 좋아.,동물들을 생각해서 호피는 입지마.,0
동물들을 생각해서 호피는 입지마.,호피가 좋은걸?,0
호피가 좋은걸?,생명은 소중한거야. 선택은 너의 몫이야.,0
오늘 뭐 입지?,너의 섹시함을 보여줘.,0
너의 섹시함을 보여줘.,나는 섹시하지 않아.,0
나는 섹시하지 않아.,아이템을 장착하면 되.,0
아이템을 장착하면 되.,그딴거 안해!,0
나 오늘 어때?,응. 너는 오늘도 예뻐!,0
응. 너는 오늘도 예뻐!,고마워. 넌 진짜 생뚱 맞구나.,0
고마워. 넌 진짜 생뚱 맞구나.,사랑해.,2
너에게 나는 누구니?,나에게 너는 친구야. 너에게 나도 친구야.,0
나에게 너는 친구야. 너에게 나도 친구야.,너와 나는 친구야?,0
너와 나는 친구야?,응. 좋은 추억 만들자.,0
이 물건들 어떡해 버리지?,한국에서는 종량제 봉투를 사야해.,0
한국에서는 종량제 봉투를 사야해.,외국에서는 봉투 사야해?,0
외국에서는 봉투 사야해?,나라마다 법이 다르듯이 그것도 다르지,0
부산까지 얼마나 걸릴까?,뭐 타고 가는데?,0
뭐 타고 가는데?,차를 타거나 기차를 타려고.,0
차를 타거나 기차를 타려고.,빠른걸로 타는게 좋아. 시간은 돈으로 살 수 없어.,0
나는 돈을 많이 벌고 싶어.,너의 개발 실력이 늘수록 돈은 더 많이 벌수 있어.,0
너의 개발 실력이 늘수록 돈은 더 많이 벌수 있어.,나는 개발을 안해.,0
나는 개발을 안해.,미안. 열심히 자기 개발해.,0
축구하고 싶다.,응. 하지만 난 축구를 잘 몰라.,0
응. 하지만 난 축구를 잘 몰라.,손흥민 몰라?,0
손흥민 몰라?,몰라. 손흥민에 대해 알려줘.,0
손흥민은 한국에서 제일 유명한 축구선수야.,손흥민은 세계에서도 유명해?,0
손흥민은 세계에서도 유명해?,응 손흥민은 세계에서도 유명해.,0
응 손흥민은 세계에서도 유명해.,캬. 자랑스럽겠다.,0
오늘 몇 시쯤 물건을 받을 수 있을까 ?,지금은 몇 시에 갈 수 있을지 잘 모르겠어 .,0
지금은 몇 시에 갈 수 있을지 잘 모르겠어 .,"아, 그래 ? 그런데 앞으로는 오는 시간을 미리 알려주면 좋겠어 .",0
"아, 그래 ? 그런데 앞으로는 오는 시간을 미리 알려주면 좋겠어 .",죄송합니다.  즘 배달할 물건이 많아서 도착 시간을 말씀 드리기 좀 어렵네 .,0
